date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:53:52	964443/964443	---M--	200	added ('OK')	image/jpeg	etag:%2282a0073-eb75b-577f6b4f4242e%22	https://www.yogainindia.co.in/admin/upload/page/1539276365.jpeg	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/admin/upload/page/1539276365.jpg	(from https://www.yogainindia.co.in/contact-us)
18:53:52	8738/8738	---M--	200	added ('OK')	text/css	etag:%228563c0a-2222-56aa9788a59f8%22	https://www.yogainindia.co.in/blogyoga/wp-content/plugins/frontier-post/frontier-post.css?ver=4.4.1	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/plugins/frontier-post/frontier-posta94e.css	(from https://www.yogainindia.co.in/blogyoga/)
18:53:53	19339/19339	---M--	200	added ('OK')	text/css	etag:%228681e2a-4b8b-569f75a471600%22	https://www.yogainindia.co.in/blogyoga/wp-content/themes/espresso/components/font-icons/entypo/css/entypo.css?ver=1.4.0	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/themes/espresso/components/font-icons/entypo/css/entypo2fca.css	(from https://www.yogainindia.co.in/blogyoga/)
18:53:53	2887/2887	---MC-	200	added ('OK')	application/rss+xml	etag:%222f4b1bbd211f618d1beb12a1d3fb1f16%22	https://www.yogainindia.co.in/blogyoga/comments/feed/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/comments/feed/index.html	(from https://www.yogainindia.co.in/blogyoga/)
18:53:53	7927/7927	---M--	200	added ('OK')	text/css	etag:%228681e78-1ef7-569f75a471600%22	https://www.yogainindia.co.in/blogyoga/wp-content/themes/espresso/components/font-icons/social-icons/css/zocial.css?ver=1.4.0	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/themes/espresso/components/font-icons/social-icons/css/zocial2fca.css	(from https://www.yogainindia.co.in/blogyoga/)
18:53:54	35001/35001	---M--	200	added ('OK')	text/css	etag:%228681f0d-88b9-569f75a471600%22	https://www.yogainindia.co.in/blogyoga/wp-content/themes/espresso/css/bootstrap.css?ver=1.4.0	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/themes/espresso/css/bootstrap2fca.css	(from https://www.yogainindia.co.in/blogyoga/)
18:53:54	44040/44040	---MC-	200	added ('OK')	application/rss+xml	etag:%22eaf428086a9d25ac8b6beb109ed11924%22	https://www.yogainindia.co.in/blogyoga/feed/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/feed/index.html	(from https://www.yogainindia.co.in/blogyoga/)
18:53:54	11849/11849	---M--	200	added ('OK')	text/css	etag:%228682072-2e49-569f75a471600%22	https://www.yogainindia.co.in/blogyoga/wp-content/themes/espresso/js/jquery-mmenu/css/jquery.mmenu.custom.css?ver=1.4.0	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/themes/espresso/js/jquery-mmenu/css/jquery.mmenu.custom2fca.css	(from https://www.yogainindia.co.in/blogyoga/)
18:53:55	6084/6084	---M--	200	added ('OK')	text/css	etag:%2284e29b0-17c4-56c240f87381b%22	https://www.yogainindia.co.in/blogyoga/wp-content/plugins/newsletter/subscription/style.css?ver=5.4.2	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/plugins/newsletter/subscription/style7661.css	(from https://www.yogainindia.co.in/blogyoga/)
18:53:55	182382/182382	---M--	200	added ('OK')	text/css	etag:%22868263f-2c86e-569f75a471600%22	https://www.yogainindia.co.in/blogyoga/wp-content/themes/espresso/style.css?ver=1.4.0	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/themes/espresso/style2fca.css	(from https://www.yogainindia.co.in/blogyoga/)
